4.7,83.65,13.7,87.72,17.62,91.23,22.09,94.14,27.16,96.52,32.74,98.26,38.97,99.32,45.88,99.78,53.39,99.94,61.21,100,69.13,100,77.1
4.8,84.34,15.08,88.28,19.12,91.68,23.7,94.48,28.88,96.78,34.56,98.42,40.88,99.38,47.88,99.79,55.45,99.94,63.27,100,71.2,100,79.17
4.9,84.99,16.5,88.81,20.66,92.11,25.35,94.8,30.63,97,36.4,98.55,42.82,99.44,49.9,99.81,57.5,99.95,65.34,100,73.27,100,81.24
5,85.62,17.94,89.31,22.23,92.5,27.03,95.11,32.39,97.2,38.27,98.67,44.76,99.49,51.92,99.82,59.56,99.95,67.41,100,75.34,100,83.31
5.1,86.19,19.44,89.78,23.83,92.86,28.73,95.39,34.17,97.38,40.15,98.77,46.73,99.54,53.94,99.84,61.62,99.95,69.48,100,77.41,100,85.38
5.2,86.75,20.95,90.22,25.46,93.2,30.46,95.66,35.97,97.56,42.04,98.86,48.71,99.57,55.98,99.85,63.68,99.95,71.55,100,79.48,100,87.45
5.3,87.27,22.5,90.64,27.11,93.51,32.22,95.9,37.8,97.72,43.95,98.94,50.7,99.6,58.02,99.86,65.74,99.96,73.61,100,81.55,100,89.52
5.4,87.76,24.08,91.03,28.79,93.81,33.99,96.11,39.65,97.87,45.87,99.02,52.69,99.63,60.06,99.87,67.8,99.96,75.68,100,83.62,100,91.59
5.5,88.21,25.7,91.39,30.5,94.1,35.77,96.31,41.53,98,47.8,99.09,54.69,99.65,62.1,99.88,69.86,99.96,77.75,100,85.69,100,93.66
5.6,88.64,27.34,91.73,32.23,94.36,37.58,96.49,43.41,98.13,49.75,99.16,56.7,99.68,64.15,99.88,71.92,99.96,79.82,100,87.76,100,95.73
5.7,89.05,29,92.05,33.99,94.59,39.41,96.66,45.31,98.23,51.72,99.21,58.71,99.7,66.2,99.89,73.98,99.97,81.88,100,89.83,100,97.8
5.8,89.44,30.68,92.33,35.77,94.81,41.26,96.81,47.23,98.33,53.69,99.27,60.72,99.72,68.25,99.9,76.05,99.97,83.95,100,91.9,100,99.87
5.9,89.81,32.38,92.6,37.56,95.01,43.12,96.96,49.15,98.43,55.66,99.32,62.75,99.74,70.3,99.9,78.12,99.97,86.02,100,93.97,100,101.94
6,90.14,34.12,92.86,39.37,95.21,45,97.1,51.09,98.51,57.64,99.36,64.77,99.75,72.35,99.9,80.18,99.97,88.09,100,96.04,100,104.01
6.1,90.45,35.89,93.11,41.2,95.39,46.89,97.22,53.03,98.59,59.64,99.4,66.8,99.77,74.41,99.91,82.25,99.98,90.16,100,98.11,100,106.08
6.2,90.73,37.67,93.33,43.04,95.55,48.79,97.34,54.98,98.67,61.63,99.44,68.83,99.78,76.47,99.91,84.31,99.98,92.22,100,100.18,100,108.15
6.3,91,39.47,93.54,44.9,95.71,50.71,97.45,56.94,98.73,63.63,99.47,70.87,99.79,78.52,99.92,86.38,99.98,94.29,100,102.25,100,110.22
6.4,91.25,41.29,93.74,46.77,95.85,52.63,97.55,58.91,98.8,65.64,99.51,72.91,99.8,80.59,99.92,88.45,99.98,96.36,100,104.32,100,112.29
6.5,91.5,43.11,93.93,48.65,95.99,54.56,97.65,60.88,98.86,67.64,99.54,74.95,99.81,82.65,99.92,90.51,99.99,98.43,100,106.39,100,114.36
6.6,91.73,44.95,94.11,50.54,96.13,56.5,97.75,62.85,98.92,69.66,99.57,76.99,99.82,84.71,99.93,92.58,99.99,100.49,100,108.46,100,116.43
6.7,91.94,46.8,94.28,52.44,96.25,58.44,97.84,64.83,98.97,71.67,99.59,79.03,99.83,86.77,99.93,94.65,99.99,102.56,100,110.53,100,118.5
6.8,92.15,48.67,94.44,54.35,96.37,60.39,97.92,66.82,99.03,73.69,99.62,81.07,99.84,88.83,99.93,96.71,99.99,104.63,100,112.6,100,120.57
6.9,92.34,50.54,94.59,56.27,96.49,62.35,98,68.81,99.08,75.71,99.64,83.12,99.84,90.9,99.94,98.78,99.99,106.7,100,114.67,100,122.65
7,92.53,52.42,94.74,58.19,96.6,64.31,98.08,70.81,99.12,77.74,99.67,85.17,99.85,92.96,99.94,100.85,100,108.77,100,116.74,100,124.72
7.1,92.71,54.31,94.88,60.12,96.7,66.28,98.15,72.81,99.17,79.76,99.69,87.22,99.85,95.03,99.94,102.92,100,110.83,100,118.81,100,126.79
7.2,92.89,56.21,95.02,62.05,96.8,68.25,98.22,74.81,99.21,81.78,99.71,89.27,99.86,97.09,99.94,104.98,100,112.9,100,120.88,100,128.86
7.3,93.06,58.11,95.15,63.99,96.89,70.23,98.28,76.81,99.26,83.81,99.72,91.32,99.86,99.16,99.95,107.05,100,114.97,100,122.95,100,130.93
7.4,93.22,60.02,95.28,65.93,96.98,72.21,98.35,78.82,99.29,85.84,99.74,93.38,99.86,101.23,99.95,109.12,100,117.04,100,125.02,100,133
7.5,93.37,61.93,95.4,67.89,97.06,74.2,98.41,80.82,99.33,87.88,99.75,95.44,99.87,103.29,99.95,111.19,100,119.11,100,127.09,100,135.07
7.6,93.52,63.86,95.51,69.84,97.14,76.18,98.47,82.83,99.36,89.92,99.76,97.5,99.87,105.36,99.95,113.25,100,121.18,100,129.16,100,137.14
